id,treatment,task,answer,captcha,attention,age,gender,essay_seconds,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
142,Control,Social,Father,1,TikTok,61,Male,53.342,Their father,6,7,5,C,0.66,6,7,4,3,4,"They wrote it themselves, without any help from ChatGPT",No,3,No,1,2
143,Control,Social,Friend,1,TikTok,19,Female,32.036,Their best friend,7,3,5,B,1,6,7,6,2,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,3
144,Control,NonSocial,Hobbit,1,TikTok,63,Female,37.071,The book 'The Hobbit',6,3,6,B,0.81,6,4,5,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,2
145,Full,Social,Friend,1,TikTok,31,Female,41.643,Their best friend,4,3,2,D,0.1,2,2,2,6,3,They copied it word-for-word from ChatGPT,Yes,4,No,1,2
146,Tool,Social,Father,1,TikTok,66,Male,39.782,Their father,3,2,2,C,0.3,4,2,4,1,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,Yes,2,2
147,Tool,NonSocial,Buffy,1,TikTok,37,Female,51.093,The TV show 'Buffy the Vampire Slayer',4,4,5,D,0.34,5,4,3,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,4
148,Tool,NonSocial,Buffy,1,TikTok,35,Male,6.348,The TV show 'Buffy the Vampire Slayer',5,5,5,B,1,3,5,5,3,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
149,Control,Social,Friend,1,TikTok,25,Female,64.377,Their best friend,7,7,7,B,1,6,7,4,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,5
150,Control,Social,Sister,1,TikTok,22,Female,22.128,Their sister,6,6,7,A,1,6,7,7,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,3
151,Tool,NonSocial,Titanic,1,Newspapers,22,Male,81.987,The film 'Titanic',5,4,2,C,0.35,4,3,3,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
152,Full,Social,Father,1,TikTok,58,Female,33.781,Their father,7,1,1,E,0.18,2,4,1,1,2,They copied it word-for-word from ChatGPT,Yes,3,No,1,4
153,Tool,NonSocial,Hobbit,1,Reddit,34,Male,9.839,The book 'The Hobbit',6,5,5,B,0.71,6,5,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
154,Tool,NonSocial,Titanic,1,TikTok,67,Male,55.894,The film 'Titanic',6,5,6,B,0.75,5,6,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,6
155,Full,Social,Friend,1,TikTok,52,Female,70.16,Their best friend,6,2,3,E,0,2,2,1,7,1,They copied it word-for-word from ChatGPT,Yes,1,No,1,2
156,Control,NonSocial,Titanic,1,TikTok,39,Female,70.394,The film 'Titanic',7,6,5,B,0.81,7,5,6,2,5,"They wrote it themselves, without any help from ChatGPT",No,5,No,1,4
157,Control,NonSocial,Buffy,1,TV,43,Male,61.573,The TV show 'Buffy the Vampire Slayer',6,7,7,B,0.5,6,5,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
158,Control,NonSocial,Buffy,1,TikTok,60,Female,77.029,The TV show 'Buffy the Vampire Slayer',6,6,7,B,0.9,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
159,Full,NonSocial,Hobbit,1,TikTok,23,Female,91.857,The book 'The Hobbit',6,4,1,A,0.5,4,4,3,6,3,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
160,Tool,NonSocial,Buffy,1,TikTok,60,Male,101.92,The TV show 'Buffy the Vampire Slayer',6,5,3,C,0.4,3,2,5,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,1,No,1,4
161,Tool,Social,Friend,1,TikTok,39,Male,173.075,Their best friend,7,7,6,B,0.8,4,7,6,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,5
162,Tool,Social,Friend,1,TikTok,29,Female,94.443,Their best friend,4,2,4,C,0.6,5,4,6,2,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,5
163,Control,Social,Friend,1,TikTok,23,Female,92.678,Their best friend,7,7,7,B,0.87,7,7,7,2,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,5
164,Full,NonSocial,Buffy,1,TikTok,27,Male,12.739,The TV show 'Buffy the Vampire Slayer',6,5,3,D,0,3,2,2,3,2,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,5
165,Control,NonSocial,Buffy,1,TikTok,37,Male,65.401,The TV show 'Buffy the Vampire Slayer',6,7,7,A,1,7,7,7,1,5,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
166,Control,Social,Sister,1,TikTok,34,Female,21.835,Their sister,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
167,Control,NonSocial,Titanic,1,TikTok,32,Female,53.898,The film 'Titanic',6,5,4,B,0.9,5,4,4,3,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,5
168,Tool,Social,Father,1,TikTok,33,Male,13.545,Their father,6,7,6,A,0.9,6,7,6,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
169,Tool,Social,Father,1,TikTok,20,Male,3.059,Their father,4,3,3,C,0.5,3,5,4,2,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,5
170,Tool,Social,Friend,1,TikTok,49,Female,77.406,Their best friend,4,4,3,B,0.8,5,5,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,2,No,1,2
171,Control,Social,Father,1,TikTok,27,Male,299.47,Their father,6,5,5,B,0.6,5,5,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,4
172,Control,Social,Friend,1,TikTok,33,Male,67.003,Their best friend,6,6,5,B,0.8,6,4,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,6
173,Full,NonSocial,Titanic,1,TikTok,53,Female,80.618,The film 'Titanic',7,4,1,E,0.1,4,4,1,7,1,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,4
174,Control,Social,Sister,1,TikTok,73,Female,78.83,Their sister,6,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,Yes,1,4
175,Control,NonSocial,Hobbit,1,TikTok,55,Male,94.981,The book 'The Hobbit',6,5,6,B,0.82,6,7,5,1,5,"They wrote it themselves, without any help from ChatGPT",No,2,No,1,2
176,Tool,Social,Friend,1,TikTok,27,Female,41.879,Their best friend,6,3,6,B,1,3,5,5,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,5
177,Control,Social,Father,1,TikTok,24,Male,24.412,Their father,2,6,6,D,0.31,2,6,6,4,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,4,5
178,Full,NonSocial,Buffy,1,TikTok,36,Female,111.263,The TV show 'Buffy the Vampire Slayer',7,6,3,D,0,1,2,1,7,2,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,1
179,Full,NonSocial,Buffy,1,TikTok,53,Male,100.136,The TV show 'Buffy the Vampire Slayer',5,5,5,B,0.7,3,4,2,6,2,They copied it word-for-word from ChatGPT,Yes,6,Yes,2,4
180,Control,Social,Friend,1,TikTok,32,Female,48.811,Their best friend,5,7,7,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,4,6
181,Full,Social,Friend,1,TikTok,22,Female,18.861,Their best friend,6,3,2,E,0,2,4,7,7,2,They copied it word-for-word from ChatGPT,No,7,Yes,4,3
182,Full,Social,Friend,1,TikTok,45,Female,122.984,Their best friend,6,6,6,C,0.75,5,5,5,5,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
183,Full,NonSocial,Buffy,1,TikTok,54,Female,55.944,The TV show 'Buffy the Vampire Slayer',5,5,3,D,0.25,3,2,2,7,3,They copied it word-for-word from ChatGPT,No,3,Yes,2,3
184,Full,Social,Father,1,TikTok,63,Female,40.239,Their father,6,6,6,B,0.1,2,2,1,6,2,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
185,Full,Social,Sister,1,TikTok,37,Female,46.276,Their sister,5,2,1,E,0,4,4,2,7,4,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
186,Full,NonSocial,Titanic,1,TikTok,43,Female,58.224,The film 'Titanic',6,6,6,B,0.5,6,5,5,3,5,NA,Yes,5,Yes,2,4
187,Full,NonSocial,Hobbit,1,TikTok,34,Female,14.843,The book 'The Hobbit',7,6,6,D,0.1,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,2,3
188,Tool,Social,Father,1,TikTok,49,Male,35.706,Their father,6,6,5,C,0.4,4,3,3,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,4
189,Control,Social,Sister,1,TikTok,37,Male,49.235,Their sister,5,6,6,B,0.75,5,6,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,2
190,Tool,Social,Father,0.8999999761581421,TikTok,39,Female,32.221,Their father,3,1,1,D,0.2,3,3,3,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,4
191,Control,Social,Sister,1,TikTok,52,Female,47.277,Their sister,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,4
192,Control,NonSocial,Buffy,1,TikTok,21,Male,17.738,The TV show 'Buffy the Vampire Slayer',4,5,5,B,0.8,5,6,6,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,6
193,Tool,Social,Sister,1,TikTok,43,Female,61.198,Their sister,6,7,7,B,0.7,6,7,7,1,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,3
194,Full,NonSocial,Titanic,1,TikTok,21,Female,97.605,The film 'Titanic',5,3,3,B,0.7,2,2,2,6,6,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,6
195,Tool,NonSocial,Hobbit,1,TikTok,63,Female,43.576,The book 'The Hobbit',7,4,3,B,1,7,2,2,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,5
196,Control,NonSocial,Buffy,1,TikTok,35,Male,98.314,The TV show 'Buffy the Vampire Slayer',5,4,4,B,0.59,6,5,2,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,3
197,Tool,NonSocial,Buffy,1,TikTok,57,Female,69.666,The TV show 'Buffy the Vampire Slayer',7,7,7,A,0.85,5,6,4,3,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
198,Tool,NonSocial,Hobbit,1,TikTok,61,Female,57.98,The book 'The Hobbit',4,4,4,C,0.4,5,4,5,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,3
199,Control,NonSocial,Titanic,1,TikTok,69,Male,57.698,The film 'Titanic',7,3,4,B,1,6,4,4,1,5,"They wrote it themselves, without any help from ChatGPT",No,2,Yes,2,5
200,Control,Social,Sister,1,TikTok,23,Female,27.417,Their sister,6,7,4,B,0.82,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,4
201,Full,NonSocial,Buffy,1,TikTok,37,Female,55.166,The TV show 'Buffy the Vampire Slayer',4,4,3,D,0.1,4,4,4,6,4,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,3
202,Full,NonSocial,Titanic,1,TikTok,31,Female,27.001,The film 'Titanic',5,3,3,B,0.39,4,2,2,6,4,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,4
203,Full,Social,Sister,1,TikTok,58,Female,214.407,Their sister,4,4,4,C,0.52,4,4,4,4,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
204,Control,NonSocial,Hobbit,1,TikTok,58,Male,39.209,The book 'The Hobbit',4,4,4,B,0.81,5,4,4,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,2
205,Control,NonSocial,Buffy,1,TikTok,42,Female,77.11,The TV show 'Buffy the Vampire Slayer',6,6,7,C,0.7,6,6,5,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,4,4
206,Full,Social,Sister,1,TikTok,48,Male,33,Their sister,7,7,7,C,0.37,4,4,4,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
207,Tool,Social,Father,1,Other,31,Female,27.567,Their father,5,6,4,C,0.46,5,5,4,2,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,3
208,Full,NonSocial,Buffy,1,TikTok,26,Male,36.816,The TV show 'Buffy the Vampire Slayer',7,7,6,B,0.99,6,6,6,7,4,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,6
209,Tool,NonSocial,Hobbit,1,Facebook,18,Female,7.947,The book 'The Hobbit',7,5,5,C,1,5,4,3,1,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,4
210,Control,Social,Sister,1,TikTok,60,Male,97.825,Their sister,6,7,7,B,0.9,7,6,7,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
211,Tool,NonSocial,Hobbit,1,TikTok,25,Male,3.352,The book 'The Hobbit',5,4,4,B,0.7,5,5,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,4
212,Control,NonSocial,Titanic,1,TikTok,42,Female,101.105,The film 'Titanic',7,7,7,A,1,7,6,6,1,7,"They wrote it themselves, without any help from ChatGPT",No,5,No,1,6
213,Full,Social,Father,1,TikTok,27,Female,59.578,Their father,6,5,5,C,0.2,2,3,3,3,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,3
214,Tool,Social,Sister,0.8999999761581421,TikTok,48,Female,50.324,Their sister,5,5,5,C,0.7,5,6,6,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
215,Full,Social,Sister,1,TikTok,29,Male,26.24,Their sister,4,1,1,E,0,2,2,1,1,1,They copied it word-for-word from ChatGPT,Yes,5,No,1,1
216,Full,NonSocial,Titanic,1,TikTok,46,Male,41.395,The film 'Titanic',3,3,4,C,0.41,2,4,2,6,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
217,Tool,Social,Father,1,TikTok,25,Female,33.072,Their father,2,2,2,D,0.3,3,4,4,2,4,"They wrote it themselves, without any help from ChatGPT",No,3,Yes,2,4
218,Full,NonSocial,Hobbit,1,TikTok,37,Male,49.778,The book 'The Hobbit',5,3,1,D,0.1,3,1,4,2,5,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,5
219,Full,NonSocial,Hobbit,1,TikTok,60,Female,141.953,The book 'The Hobbit',7,6,5,B,1,6,4,4,4,4,They copied it word-for-word from ChatGPT,Yes,1,No,1,4
220,Control,NonSocial,Hobbit,1,TikTok,55,Male,95.969,The book 'The Hobbit',5,5,6,B,0.75,6,6,7,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
221,Full,NonSocial,Buffy,1,TikTok,31,Female,25.26,The TV show 'Buffy the Vampire Slayer',5,4,4,B,0.42,3,2,3,5,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,3
222,Tool,NonSocial,Buffy,1,TikTok,32,Male,44.157,The TV show 'Buffy the Vampire Slayer',5,4,3,C,0.5,4,3,3,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,2,3
223,Control,NonSocial,Hobbit,1,TikTok,50,Male,81.736,The book 'The Hobbit',6,5,6,B,0.7,6,5,5,3,5,They copied it word-for-word from ChatGPT,No,5,Yes,3,5
224,Full,Social,Friend,1,TikTok,34,Female,142.532,Their best friend,5,2,2,E,0.25,4,4,4,4,4,They copied it word-for-word from ChatGPT,No,4,Yes,2,4
225,Control,Social,Father,1,TikTok,56,Female,43.029,Their father,7,7,7,B,0.95,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
226,Full,NonSocial,Buffy,1,TikTok,18,Male,65.518,The TV show 'Buffy the Vampire Slayer',5,2,2,D,0.01,2,2,2,6,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,2
227,Full,Social,Sister,1,TV,46,Female,78.907,Their sister,7,7,1,A,0.59,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,7
228,Control,NonSocial,Titanic,1,TikTok,40,Female,249.181,The film 'Titanic',6,6,5,A,1,7,5,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,5
229,Tool,NonSocial,Buffy,1,TikTok,40,Female,87.036,The TV show 'Buffy the Vampire Slayer',5,5,6,B,0.9,6,6,5,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,3
230,Control,Social,Father,1,TikTok,21,Male,13.535,Their father,4,7,7,B,0.62,4,7,7,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,4
231,Control,Social,Friend,1,TikTok,59,Male,67.667,Their best friend,6,7,6,B,0.82,6,6,6,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
232,Tool,NonSocial,Buffy,1,TikTok,50,Male,49.029,The TV show 'Buffy the Vampire Slayer',5,6,4,B,0.55,4,3,4,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,1
233,Tool,Social,Friend,1,TikTok,43,Female,78.258,Their best friend,5,6,5,B,0.7,3,5,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,No,1,3
234,Full,Social,Sister,1,TikTok,33,Female,28.731,Their sister,7,6,6,A,1,7,7,6,5,5,They copied it word-for-word from ChatGPT,Yes,2,No,1,5
235,Tool,Social,Friend,1,TikTok,27,Female,156.627,Their best friend,7,7,5,A,1,5,6,6,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,7
236,Tool,Social,Friend,1,Reddit,32,Male,23.892,Their best friend,6,5,3,C,0.5,5,5,3,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,5,3
237,Control,Social,Friend,1,TikTok,68,Male,51.111,Their best friend,6,5,7,A,1,5,6,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
238,Full,Social,Father,1,TikTok,53,Male,53.36,Their father,6,3,2,C,0.01,3,2,1,7,1,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,2
239,Full,NonSocial,Hobbit,1,TikTok,35,Female,37.886,The book 'The Hobbit',4,3,3,C,0.15,1,4,2,7,2,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,4
240,Control,NonSocial,Hobbit,1,TikTok,35,Female,52.456,The book 'The Hobbit',5,2,4,C,0.75,5,4,4,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
241,Control,Social,Friend,1,TikTok,28,Male,41.05,Their best friend,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
242,Full,Social,Friend,1,TikTok,43,Female,32.878,Their best friend,5,5,5,C,0.52,2,3,3,6,6,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,6
243,Tool,Social,Friend,1,TikTok,29,Male,25.299,Their best friend,5,4,2,D,0.4,4,3,4,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,3
244,Control,NonSocial,Buffy,1,TikTok,57,Male,59.172,The TV show 'Buffy the Vampire Slayer',7,7,5,A,1,7,5,5,1,4,"They wrote it themselves, without any help from ChatGPT",No,4,No,1,4
245,Tool,NonSocial,Buffy,1,TikTok,53,Female,69.072,The TV show 'Buffy the Vampire Slayer',7,7,7,A,1,5,5,3,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,4
246,Control,Social,Friend,1,TikTok,47,Female,37.307,Their best friend,7,7,7,B,0.7,7,7,7,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,2
247,Full,NonSocial,Hobbit,1,TikTok,27,Female,81.847,The book 'The Hobbit',6,6,5,B,0.59,6,6,4,7,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,2,5
248,Full,Social,Sister,1,TikTok,27,Female,19.101,Their sister,5,4,4,C,0.5,3,3,3,6,2,They copied it word-for-word from ChatGPT,Yes,1,No,1,1
249,Full,Social,Father,1,TikTok,28,Female,106.538,Their father,5,5,2,D,0.2,3,3,3,5,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,5
250,Control,Social,Friend,1,TikTok,43,Female,41.671,Their best friend,7,7,7,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,6
251,Tool,Social,Father,1,TikTok,69,Female,42.306,Their father,4,4,4,B,0.4,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,3,4
252,Control,NonSocial,Buffy,1,TikTok,72,Female,84.481,The TV show 'Buffy the Vampire Slayer',7,6,6,B,0.85,7,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
253,Control,NonSocial,Buffy,1,TikTok,22,Female,54.527,The TV show 'Buffy the Vampire Slayer',7,7,7,B,1,6,6,3,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,4
254,Tool,NonSocial,Hobbit,0.699999988079071,TikTok,53,Male,62.977,The book 'The Hobbit',5,6,5,C,0.6,5,5,5,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,4
255,Tool,NonSocial,Hobbit,1,TikTok,69,Male,33.744,The book 'The Hobbit',5,5,4,B,0.6,6,5,3,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,Yes,2,4
256,Tool,Social,Friend,1,TikTok,31,Female,53.236,Their best friend,4,5,4,B,0.6,3,5,4,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,No,1,5
257,Control,Social,Sister,1,TikTok,28,Male,50.86,Their sister,6,7,6,A,0.5,5,7,5,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
258,Tool,NonSocial,Buffy,1,TikTok,25,Male,34.886,The TV show 'Buffy the Vampire Slayer',6,4,3,C,0.4,5,4,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,3
259,Control,NonSocial,Titanic,0.699999988079071,TikTok,30,Female,71.799,The film 'Titanic',6,6,5,A,1,7,6,6,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,4
260,Tool,NonSocial,Buffy,1,TikTok,61,Female,57.602,The TV show 'Buffy the Vampire Slayer',7,7,7,B,1,4,5,4,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,4
261,Full,NonSocial,Hobbit,1,TikTok,25,Female,34.646,The book 'The Hobbit',6,5,2,C,0.4,4,3,2,6,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
262,Control,NonSocial,Hobbit,1,TikTok,29,Female,121.762,The book 'The Hobbit',6,7,7,B,0.81,7,6,5,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,2,6
263,Control,NonSocial,Hobbit,1,TikTok,30,Male,67.75,The book 'The Hobbit',6,4,5,B,1,6,3,4,1,4,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,5,5
264,Control,NonSocial,Buffy,1,TikTok,41,Male,61.741,The TV show 'Buffy the Vampire Slayer',6,7,7,B,0.62,3,2,2,6,1,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
265,Control,NonSocial,Hobbit,1,TikTok,36,Female,110.702,The book 'The Hobbit',6,7,7,B,1,7,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,2
266,Full,Social,Sister,1,TikTok,34,Male,20.146,Their sister,7,6,6,B,1,6,7,6,4,5,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,6
267,Full,NonSocial,Hobbit,1,TikTok,54,Male,82.6,The book 'The Hobbit',7,7,7,C,0.5,2,2,2,5,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
268,Control,Social,Father,1,TikTok,23,Male,22.116,Their father,5,4,5,B,1,5,4,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,4,3
269,Control,Social,Friend,1,YouTube,19,Male,16.726,Their best friend,3,6,6,B,1,5,6,6,3,6,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,5,3
270,Control,NonSocial,Buffy,1,TikTok,24,Female,64.102,The TV show 'Buffy the Vampire Slayer',5,5,5,B,1,5,5,5,2,4,"They wrote it themselves, without any help from ChatGPT",No,3,No,1,2
271,Tool,NonSocial,Buffy,1,TikTok,24,Female,45.231,The TV show 'Buffy the Vampire Slayer',6,6,6,B,0.8,6,6,4,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,5
272,Full,Social,Friend,1,TikTok,53,Female,36.629,Their best friend,6,5,4,B,0.8,4,4,3,6,3,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,5
273,Tool,NonSocial,Hobbit,1,TikTok,40,Female,38.933,The book 'The Hobbit',6,6,5,A,0.9,6,6,6,7,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,6
274,Control,NonSocial,Titanic,1,TikTok,76,Male,68.343,The film 'Titanic',6,6,7,B,1,6,6,7,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,No,2,4
275,Full,Social,Friend,1,TikTok,34,Male,57.054,Their best friend,4,4,3,C,0.5,3,3,4,5,3,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,3
276,Control,NonSocial,Buffy,1,TikTok,52,Female,110.815,The TV show 'Buffy the Vampire Slayer',5,7,6,B,0.82,5,4,4,4,5,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,2,5
277,Tool,NonSocial,Buffy,1,TikTok,56,Male,59.726,The TV show 'Buffy the Vampire Slayer',7,7,7,A,0.86,7,7,5,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,5
278,Tool,Social,Friend,0.8999999761581421,TikTok,27,Female,38.328,Their best friend,6,6,5,B,0.8,6,6,6,2,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
279,Control,NonSocial,Hobbit,1,TikTok,42,Male,12.509,The film 'Titanic',5,2,2,D,0.2,2,1,1,7,1,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,3
280,Tool,NonSocial,Hobbit,0.8999999761581421,TikTok,63,Male,29.762,The book 'The Hobbit',4,4,4,C,0.82,4,4,4,4,4,NA,Yes,1,No,1,4
281,Tool,NonSocial,Buffy,1,TikTok,29,Male,101.916,The TV show 'Buffy the Vampire Slayer',6,6,6,C,0.7,2,2,2,6,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
282,Control,Social,Father,1,TikTok,48,Male,59.612,Their father,6,7,7,B,0.9,5,7,7,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,5
283,Full,Social,Sister,1,TikTok,26,Female,45.346,Their sister,4,5,5,D,0.2,2,2,4,6,4,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,3
284,Full,NonSocial,Titanic,1,TikTok,40,Male,67.523,The film 'Titanic',7,5,5,D,0.29,4,3,2,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,5
